Category,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Country,Malawi,MWI,5.649717514,5.649717514,8.29015544,9.32642487,9.32642487,9.32642487,9.32642487,13.98963731,13.61256545,13.61256545,12.95336788,12.95336788,20.83333333,20.83333333,22.27979275,22.27979275,22.27979275,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,22.91666667,22.91666667
Country,Malaysia,MYS,7.8125,7.8125,..,10.3626943,10.3626943,10.3626943,10.47120419,9.132420091,9.132420091,9.132420091,10.0456621,10.81081081,9.90990991,9.90990991,10.40723982,10.40723982,10.36036036,10.36036036,10.36036036,10.36036036,10.36036036,13.90134529,14.41441441,14.86486486
Country,Maldives,MDV,6.25,6.25,..,6,6,6,6,6,12,12,12,12,6.493506494,6.493506494,6.493506494,6.493506494,6.493506494,5.882352941,5.882352941,5.882352941,5.882352941,5.882352941,4.597701149,4.597701149
Country,Mali,MLI,12.24489796,12.24489796,12.24489796,12.24489796,12.24489796,10.20408163,10.20408163,10.20408163,10.20408163,10.20408163,10.20408163,10.20408163,10.20408163,10.20408163,10.20408163,10.20408163,..,9.523809524,8.843537415,8.843537415,8.843537415,8.843537415,9.523809524,27.89115646
Country,Malta,MLT,5.797101449,5.797101449,9.230769231,9.230769231,9.230769231,9.230769231,7.692307692,9.230769231,9.230769231,9.230769231,9.230769231,8.695652174,8.695652174,8.695652174,8.695652174,8.695652174,14.28571429,14.28571429,12.85714286,12.85714286,11.94029851,11.94029851,14.92537313,13.43283582
Country,Marshall Islands,MHL,..,..,..,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,3.03030303,9.090909091,9.090909091,9.090909091,9.090909091,6.060606061,6.060606061
Country,Mauritania,MRT,1.265822785,3.797468354,3.797468354,3.797468354,..,..,3.703703704,3.703703704,..,17.89473684,22.10526316,22.10526316,22.10526316,22.10526316,22.10526316,22.10526316,..,25.17006803,25.17006803,25.17006803,25.17006803,20.26143791,20.26143791,20.26143791
Country,Mauritius,MUS,7.575757576,7.575757576,7.575757576,5.714285714,5.714285714,5.714285714,5.714285714,5.714285714,17.14285714,17.14285714,17.14285714,17.14285714,17.14285714,18.84057971,18.84057971,18.84057971,18.84057971,18.84057971,11.5942029,11.5942029,11.5942029,11.5942029,20,20
Country,Mexico,MEX,14.2,17.4,18.2,16,16,16,22.6,22.6,24.2,22.6,23.2,23.2,27.6,26.2,26.2,36.8,36.8,37.4,42.36947791,42.4,42.6,48.2,48.2,48.2
Country,"Micronesia, Fed. Sts.",FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Country,Moldova,MDA,4.807692308,..,8.910891089,7.920792079,12.87128713,12.87128713,12.87128713,15.84158416,21.78217822,21.78217822,21.78217822,21.78217822,23.76237624,18.81188119,19.8019802,19.8019802,19.8019802,17.82178218,21.78217822,21.78217822,22.77227723,22.77227723,25.74257426,24.75247525
